,str0,int1,str2,str3,float4,float5,str6
4875,SJrmOkNUJUptHguR,711,sNHUPTYJPhpx,RsqpWxkPWUFlYGUWTylW,0.11954376234542063,0.038479713361852186,ENBRl
4876,NslOF,629,OKVCXVSOSvdr,veEVOlAPxCUNhrG,0.8700107714691367,0.9163200865822789,zIEgUSxCoBGvEQSpGMIx
4877,RiOfzswHxB,423,zeMbCQNQ,rpfglfbctneAl,0.6204560943644422,0.1478207930691754,ATdGHVakLtE
4878,jzfSwPjuVfUAEq,488,amNTiQDBCOhE,FdZxQNnyJHdvznTi,0.6514656232934056,0.1880040697310975,vxLteFixEJpARFF
4879,NcOgLc,557,vnPMbeqVqNAOtfT,nUXKAViR,0.6899085426824314,0.28703864977770277,DwpFVmvR
4880,wgZjdWkRESlUQ,727,CXmCAgbGbwT,nGIXybACvBWCmfbAiUx,0.7360026578062241,0.4365184325029192,qQipKYxyFhcAz
4881,nLsYEmgbXmC,542,RyjXgisejBTUYIWlHKNS,CgQqhFaWD,0.1305783596373069,0.18706000980995474,wNxGlDnu
4882,ZQCOdlLlQWZsZfUiz,66,mOkVkpNeGZv,Dudbn,0.7258352979924382,0.7157813934952796,irNlzTmJRag
4883,vRZhRTfe,13,beyEueuGVFkkbQVAJh,dzLTfidsXD,0.4753256197452661,0.7726208104331013,NVXdkQOMCRsb
4884,XxRlUylmLTtfXT,660,dJKiDidlDJQ,LzpeahZYZZFq,0.23542792928358414,0.38062833127921036,XfeMbrVcXhGnHxGvx
4885,MtIHSxnaV,950,oedferwZwSfIa,tKUulfWt,0.18645047232208556,0.5053839591546704,bcZUoJc
4886,NSTgQJSsgpZv,809,ScUSTQqFdQmQJqPJ,VgSukznEwDMYtiM,0.266999195716897,0.4224672332375573,ZPRVGfrRpJ
4887,JKThhsvEizbsnKd,677,ejJszNC,HDRUbjmJx,0.6342514168742074,0.12644733353547533,HxhYShczDuDZ
4888,rupyT,252,AHZJpbUsiRWnv,rtCpXxYOZ,0.1232601728791971,0.6809923000650473,BREHBdNLqKZNtDlrR
4889,gBWCTSdiQbRrquI,235,FFVxEuaSCM,slOSEiQOmIgoDtiN,0.30376532170186343,0.5438237347705449,RibThJlYNVxZPiGQ
4890,QNogxN,983,BcUzhhdWhIVLviCYe,pVlsJNbfzQ,0.17159505823052768,0.830768035751036,sIuKAUvBfr
4891,tmqZhKmrCVIJm,438,TwnBgKtG,lsMbotEwiiO,0.47085995128596825,0.06445845930561567,nCRMymsnbWm
4892,DscpnCXBWx,759,eclVaWAcnBCqlXk,KBXkNyrvVnmBiFErhHv,0.1638655326542957,0.24156272683540003,QTiCAMYF
4893,djSadGYqhiMi,899,gmGQhRPXAcOyGQa,LvdrBnOuASeZfaR,0.11411079879253339,0.8169441323446921,iKwpgudFoc
4894,JLBtqOsEtRjQg,496,fyGComgajHTP,sGcEk,0.5361043980056961,0.8466418704244091,susUAxs
4895,VATZFHhMqRvDZrbG,396,JgfliqrI,QRjGnaPhr,0.2512179746971265,0.603086540239873,ckLYaIbSQ
4896,MODErTkrbIbzDC,872,faBSHqztZYVr,quZSPg,0.39288731546722544,0.6231429097469526,kqmCzkLKJlegTaXuo
4897,OEaqXINglJnnVKQLYRc,107,qBfaDFvdjCocMl,ZdFrsulajEq,0.6493872565066309,0.08036580708265884,OZjYokfqxG
4898,BUuqSTlpQszX,896,wxLawxpyymnlth,jrCLw,0.16755126801444498,0.040712972528508584,UjtivfVBDEu
4899,QJbbwkpGJXjUAQEKA,659,cFBmRWfeVyf,ORCAq,0.9874383780385149,0.4204694023019552,cXqZiJOiUfHwuHCk
4900,bpEdOWrpp,484,VlUNzZjdWji,gOiKWTaDrzVmhaYkLeP,0.6152456617000737,0.6124396030342371,icWUVyVuUfkmJ
4901,mLJwFIMBNTSUUnRmnYRs,186,CnRlvNhxwiBaPt,XswCmypBKxHCdT,0.03565052880315023,0.208121474084223,pvNOzSrc
4902,aGhCqubQL,168,FCDQC,PPiPrWicz,0.11959770033345085,0.3680916101665612,EyAJMaKcYGdB
4903,nsNFYnirYJUUxtuymC,660,LiKmzHLaBRVgVYUzSbr,rGTvy,0.20459603621870226,0.6453041056320712,yTbQMvJDtqAn
4904,UhHgEORazOSYIspja,264,hKQhtgALHBCTMZCzoapB,iOIBjJQMNBKXIZDd,0.21185653101271107,0.8285142634803347,SlwuaxhyE
4905,bANkGIWA,603,pRBdJF,ivgchFqnL,0.2173167508835936,0.5549398691081612,eiVHscpqAAIFHornGK
4906,fVTawajIkGWMtwf,72,FgZlxovsnl,epbJlysQXmuWK,0.41878308354864124,0.34111194408171785,kEHRizgqgeErvgnjedbD
4907,IjzASgxRMqmjHVu,904,MLrmLKe,ACwtIYUicgLwS,0.9755466352595157,0.03997768751161157,MULgKeilSkSbzWCRx
4908,tRnxppMzQfohBsGTYq,431,KQFjDkCdbossQJ,gGqTHLqAmFb,0.012424063027658194,0.06529334336194714,bphpRDlzjfwcLQptnOB
4909,rlIMfDQdBCuuok,418,VnNSstdfNScaau,hshmmfnYyy,0.9929570436797729,0.04552304539620056,iPafP
4910,MuoqQCnzedaoCSB,594,pUhnSs,YwJlZbpLnB,0.8297759646111389,0.7455048116813153,vazCYymyJbPWP
4911,lJlnSNwvYrCrNB,687,lBKeg,otajegFbpDJ,0.8058743432502267,0.38692500853047807,ssKvzDBl
4912,qQuTDAsv,671,YtMbQ,SDqzVmrQeTMZrG,0.1544171545991354,0.6914470673753839,FbJNy
4913,AWqViQG,442,oYPOdTsi,rXqXfPeYHI,0.015118220120643566,0.9259650990878072,DwKrK
4914,FrIxKmylS,548,rCfYEpJhmh,pxrmiGlsdxokwxBUyMX,0.8170532436890329,0.5150654680230993,DjKVStv
4915,xzPtinMHczzXhmdyv,590,kxpUFKvVwHfJgqYmmf,JedJKaza,0.5623641520381047,0.45850194179301407,JlIDEavPeEkSDvhy
4916,gvESbCxxzBQXCfBZo,462,AvAeYyaTF,eIvTZnZvhikoSZL,0.7499744868301419,0.8618001899694846,ZnCAEeKstemNzZ
4917,KRQdGRlMmsM,173,OFXZlc,JydWFLjdWuggrFckfj,0.7802256610446643,0.014773584066542389,aplmtMkBVRQyewgI
4918,wNBxBb,404,faXGQKXRxHXREp,FGbaXRqqZUCDZYRiTlyH,0.7365768499047957,0.7067299017136301,wXGwRwxyHDPdSO
4919,lQhwqd,214,ndRLI,eJYrZGzhuEqqQoQfoX,0.3638374801907318,0.7176990845273582,vQSQAEDDY
4920,UUhEQE,283,FLKvHsmmvdpxbv,qwHdSMZPBjjxgviQ,0.08123506517951107,0.18928992480709994,rXKUQWsCaoVCnLES
4921,xvTHWCgFpMVmeH,588,uxoqSIYHl,NQjLcDPqUmThUdOS,0.8419660141074427,0.5628379510595826,shEuivJCxCmbFBvExyBX
4922,theCZIXXwZA,711,uGAIpDNmgRPRKZuH,VzNodLRsLnUK,0.39064696437783,0.15879967523764194,TrrOJIKBXUtiRnwGu
4923,Apmvc,426,WKNhvYzYAGTTfikyRzm,hEvdzOeXMhTvHjnmQtx,0.5804908002445578,0.5118966754710268,RjEqUQoEOd
4924,mOptyyHwsXry,803,JkFXmzZzvGtcFMluPRBK,ygepcWMjrzqDdveoX,0.9135980634893983,0.304908402815924,GrXJZLpFnbOWyDuozde
4925,fHPpCy,0,yKNIeyPmVnDSWQLbhM,ivLuZKWCSZRRNJ,0.21547863271177536,0.37685869953529394,XucBhwKprQ
4926,JaSwuQezWhFWzAKLr,602,ILjuHKRSnrjTKQGK,YcpRhrrQNwUOaUyYv,0.7503998818696448,0.6834109224678775,aatYKqvGGHJFofytpf
4927,jWMwbGOeRKahPRbCMrqL,380,ynSteanQCfTqBCSIIL,brAYQ,0.49512492995642865,0.6431121840324696,kdDYLoK
4928,wFyIS,957,VNzGnYam,rKwLhIifstuDc,0.7857315474656267,0.871469349361077,HciUCCCWlVWeETOUr
4929,lzrjWflTQGFufHsDpv,115,yKJpf,sFmKMTyakYlmLZC,0.3820650378342094,0.47130470384430023,pLFKaEkrPaOqQVAfiq
4930,wVfYAenlQN,149,RAVKKkVnObhYLr,UfumQrfjNfyWRof,0.044163527696059246,0.5598553136640816,koRWcDEYaPRH
4931,GZxwwXSBjbztTGABFc,475,daNoQyqTD,mUmuZvln,0.5673124319665863,0.4193009815522456,hiZkxwtXYgZGmGFTzFq
4932,sLHOxR,431,KAsxkh,CrvdNWVEFqO,0.10439975700967974,0.6905409641835977,dCQlRhqub
4933,apTVVBQGbGNQPNmp,145,kIKVKvdfGQXSmMuCdyc,YyKOpvlAPNjbjESeEa,0.49416886561042106,0.4572381646913126,FZoQqLwVdGvVtjbkDq
4934,kWIIio,216,qlUneEkQERaarbQPNuZQ,mJQcWca,0.9781543081428984,0.19160671475866664,PxkWdiuAXKdJhiNCky
4935,SDnfCFUGGJJmiriuRmu,360,egpzNyVHJFVYpEQhA,zvlpR,0.22322789650609287,0.8641391949026317,omqYEAjzxgY
4936,iUoPzk,983,LLgROrUXOUwiWax,dveXaKyupsnxjB,0.511114929141401,0.981366423069916,MpKikwqsXhvCFSQle
4937,KafZrUQu,298,JXihgTVTTPQcYAJ,MzvbPbnGKWFN,0.04922872986004179,0.6663018516057335,GApXGyzFzwJXZqairdDk
4938,PGMfAUjvdGSq,636,CrBFWKaUL,CyGutbraRGcQJGi,0.8914437538072092,0.32445635825677366,FWIImJnuCKLXy
4939,BcIBNLGASZF,897,bmQaWxSkiaotK,ZNRKBMLXWnWYhP,0.8006392080024041,0.14695290983440124,rrnNeHqQcdgAIDm
4940,YqlnjUwzRzz,218,EmtiLJQoiYaHWGC,rJACLZGWqzWsxhYEv,0.5752676218073282,0.47381357419123293,tLaEESlMSCHuxMlbf
4941,sUPalsfysbF,96,PstmGtZhIKeUfWDXJC,VaOtDsW,0.5457608547305567,0.614408050393733,iCnCBZRRTEllytwTg
4942,oZaqFsSVOa,673,NVpCUhKXuuUkw,thYwqlcKxqqmVJaDvHCP,0.09376145214140275,0.9714005850275889,CceyVaQMd
4943,cezeESxyGmk,598,amQGYVkStL,bpcCCYtQjYGAwh,0.2833106053836202,0.6853572510581887,dyCxlRSs
4944,snxKewUfJxtowvKZVUkW,903,lheAabSkQvpu,azuMmznJNcaWwRe,0.19959522436175203,0.5985618677806592,mfYmEuMbMaFa
4945,MHaLH,202,gAhTUiaQ,lNzpIPzfaEa,0.8291589082505146,0.6781525178047273,dvWhpHgJnV
4946,vQqpFFGJlTnwBkVuU,780,qeLCakLOCUayCG,lsgRvuYRlhKuPrNC,0.07274286174824385,0.06072762138945209,cqIPaxqpYtgewOh
4947,xQmcXp,766,alpKdotbMeieFejNqbE,kuBWiuY,0.2892372755343102,0.7528323955830672,GmmaaotaaCKzlYdi
4948,jKMKAKUvWa,394,PGmdC,ygosXTAOurDtEm,0.19310130280993065,0.101121025116502,wAJryUrC
4949,FymCTmbkzuHuE,168,xycprnsAx,bHAykQHiSiuYAshklTL,0.4563990815979859,0.8724378890982337,dvbGeUixISLgucQZJnHq
4950,shogjatfYy,988,WIXHiuQ,nZHyPnCQCCQdRJsTtc,0.03020309141189237,0.2914921503101695,tmauYfZnhqhA
4951,PVDRJsimnTI,827,qdEVRVDkQVZw,aJNTKaQOJBUTTcAPwn,0.04401559391850163,0.3671827941215946,UChHnnDfnReo
4952,oPpuswzri,648,hPqNVjeYodEwPMPoOww,JbFDTXKADwyNg,0.3446197627163875,0.44626509036909434,tStyYVHPVuWRbyMwiht
4953,xzXgwZZVNDonyaDwAAi,304,FoGkYo,AiPFjOPVjI,0.9684813413284933,0.3495399250906205,cQHsopfXar
4954,KJcLVVKBroaXEwRfCqw,374,oJBfkKUJUJzSmbLYW,pYQJDu,0.04493443262593222,0.3273758446226779,QMrfnDoGhup
4955,kcwOBxvXwCygRTVwLg,646,ZgBUfqbMoTThBmXzgoI,uqnHbcDdahJM,0.343260216964151,0.6650257951204643,MAhRNGQmQCLigWOXmu
4956,pcBPnICUsHsg,962,BsepYj,jzTdpDzg,0.34918396991419753,0.9458086366015709,dafsNLmyIjinKxVJ
4957,wUiocuwpWy,336,nvQKSvRUhPNqWpcRurWn,PZSZshOck,0.4761475937067078,0.7830863548599553,tQrPwwTbwGyuSzB
4958,HDoPaHTZToyGNiUn,274,KAZqwiE,vJIwHqbBOOOUgWoFAuA,0.46908180566878077,0.8659297610903144,CQkxuSqATmXFbjjPypH
4959,IqlpmWzq,411,dAjgRY,FpEduasrmGYgQ,0.23439968334440975,0.6226857233997581,hPkmoZRKarPNh
4960,lKTeKLVIXhSN,433,NjRhkG,Gbldv,0.706339040080318,0.6884384346978238,czQNAx
4961,KMkPAhFtwSZxZax,76,ZknsiVkrFn,gHNcsGmr,0.6605410977286023,0.6001959956512127,USIjzuKpntzwwIK
4962,mWrrZORT,701,sJwCWXHh,ntXcMqWaLYCSJYSooh,0.23545432910526243,0.734593013503056,oVjZEzqXexqxHeDrqulV
4963,odwWLAdPtrrOcAuhasi,704,waxdtYiJmFeYu,dPZDOb,0.6881445467301879,0.22765595355558776,hOSUp
4964,AjrTkVL,317,SCWxYrB,zoXwNxwRAqq,0.545471967534773,0.8691077853577284,wUqKdfiNkXnLc
4965,cjkzuHVaQYmYn,269,mlJPaJ,jGZopj,0.2929771873053535,0.49480111355713996,lGOVenZ
4966,UqcgPUYQkHYvZWUa,768,qaLcnnMsM,QuhVJHlxrtOzdwG,0.408020853807078,0.46375228541467817,RgvsZTQrHAbffKYeUEU
4967,tROgqBsF,200,lIYrMaxrMnweMUCPMlDF,eYCzgEjTBWG,0.1764594003746509,0.8669264310526738,gOjGuJbFTQjfBvUVqe
4968,UsjFGMCF,745,rRPouYKE,GpBBSsvg,0.07840359152538079,0.21943097319726435,HTMsJTCVWKMknItR
4969,emOTkQmBDhXNKoohdjAG,613,ryyokvxwgz,fIOAcpZHreQmLsmBg,0.2779346515707415,0.3871235157203956,sYgkocbMdbDqyD
4970,KJXbpGSPWFz,869,vkuQPXOmBGiaKobvZ,UyPYVnSiBCep,0.23263681982761508,0.863037699486035,yRTBGwnMyBoVarIrxaIh
4971,BWQKKmHOeFeDk,580,tKmDlFMVK,YuTNZJxxkwoZ,0.4850389758057084,0.03947194742710469,sXHqjOUngCrbGxKVSc
4972,BLjFnHBZzcpKdev,472,EHrQWCbHNmFwDokWEynY,oAoxowWAHnceEESkkXwc,0.3778922165713354,0.9729591267600627,ofolzX
4973,AiskNU,775,VaNTOnZ,xzfMskYpnWgPHMxLNQH,0.6092421355126382,0.16178785083745706,uGSBjDOdFc
4974,DriVUsnF,341,XILYuMIrIZrJxhhfPVvs,okiugGZL,0.31043879347771,0.25060748478167116,VBoAldlQQ
4975,GurulmEeyeVe,120,guVwo,LUBqSuPNtqFyQFfrN,0.670095507338847,0.43985688724153316,oiOoVzAfDvwnph
4976,SqrwuEKXBSEIEeCrwfV,93,QvwZJsBEAAslMkkcXWB,NBTAFXvuFjCVzpgfA,0.8772600680895597,0.9133334313320337,TnSAYlsbEPemFIiFXi
4977,CJkAMio,260,jMuJbsJfnVNTGKYbg,vbqizUwjlmvgR,0.056198983128672886,0.6338672380897133,YwmpyqdgR
4978,tGTwUG,931,UvxoWSruyKts,EztZFUDolDFdj,0.34369838057674285,0.45439057185530785,ZaTITCdMEtqLMBmwO
4979,jcJhR,732,oRktDsnueyVQtWyzQX,SNyWXMSPcuoHYkwQ,0.6562012857541631,0.7293578320191226,baaUclOeERtsxiOZeL
4980,AZxYRl,189,kzizAmscWY,rMogSyoNeicQfd,0.7700099063677849,0.33436520332344755,PjKDcVjHNXHoQg
4981,PWUHEX,317,iQxUzlRjbnb,KKcwFyZgpXCOchWtamSB,0.13290100781814163,0.7463613251230943,OIuvViQrnqVMeCfMfoaz
4982,KyeoJyJUjo,456,tMZZHJzobIKqf,snTkyfJe,0.7232099423616856,0.46295621112559704,kdWSFVN
4983,HgejfVjiEjOAI,135,DZhtofhk,VGQoWdNgbodkGdJiS,0.5540746271125386,0.1004357693699226,gabJD
4984,PwfXbKMC,689,MRYFJHuBwd,mnywGejdII,0.9904364941895868,0.4686006123322649,WcQRhcdkQDirLjW
4985,kdJHetogPl,268,cuSnj,yBGFYSPADZhwKipYYQI,0.41683821006086075,0.09651751703862343,AinQitXJhGYqxZZXVALK
4986,OsMizadEjCQxRmii,304,PsjUB,iBbPXswbqNoEjgncs,0.3450028581498765,0.4987113082357503,AKygcjBYUnH
4987,ViDfB,847,VhvmKsjLTdMOn,clvkNaBozzjTdq,0.7875778852985635,0.1149863035310128,naXFPaHXeZejFv
4988,gqwPeyklzHm,85,xBfmcYIoXWWtPAzOky,FWObXyYs,0.16192370037606896,0.1956788303416378,OUkaMphv
4989,fDTCKWouNyYbbZcj,753,uZDrloYh,DUQHNWwCc,0.20486882838663323,0.5418282858100569,MPcYQcDnFR
4990,MTsEcwgLqgNsTpyNZ,29,hFpZODgmW,xcPIKgrDFTpoDLvC,0.12013146728898827,0.4447910487630846,xuCFFIaAJRtX
4991,IrYDYWBcSRbjqUMnFSQR,32,ynIPEB,SQFvwmcWcmMWAfqYeE,0.041140629688160124,0.11831954487328011,LPuQHvKLSRGHQ
4992,pDHnBxzdpo,498,tmETsGEZYWEDlNNFuUOP,erWHJOIXjCSVTZMTb,0.09218356074868661,0.5736366467790809,gksJaEaxBWyHEIOkRYJ
4993,mwCWblLIOcBxjC,333,HQcyDTH,HTnFunSKBtvkv,0.8063488523483275,0.2190962533973959,piLPXsB
4994,UsyPGpv,521,sqzmAnnJNkGCzLdIodhQ,dFLUXBLJjUDVnDHtNf,0.645685831315621,0.14068150522355605,IeRjt
4995,SvRWStcbJzhbZewkWRP,613,NNaHOv,aBcPcAu,0.7745568421977419,0.7181136994643484,AeUoul
4996,RfDdwyaDseBSTPX,39,jdwotJbrEEgVHxfkw,YwrQagUSocvsnsQLXvr,0.3602981635116833,0.25135211185275397,EdxoEVKONLNOhHy
4997,JfSWvEfsfYy,263,CMfMcNkisbKlI,OYsQsWzaSoEBEwYXivt,0.45073252937832375,0.8471327558017306,MWcrljzETQvkxRLLcfD
4998,wPBvVpotkXtoNmxrnUm,263,czrWCBEnCqWkTHztK,eAWQSQTqojvbgjoI,0.23721216863935934,0.42629117032424135,rdgspi
4999,jOnOWJFNkEi,520,jCSBRDRGFLXJNMBXxK,EbJpCDi,0.4868954301540447,0.46009836156515027,JUKYe
5000,PKmVHXrCPEC,301,ODacrjuy,NZOqItmIjFvN,0.7874123362959431,0.7092043346128303,vwwMdIc
5001,VXrDwh,192,YQbJqanDZPvgCfgxa,BdvedGntquEmcnCf,0.0035318341852322854,0.7946408183742331,aNQShIBDKJtA
5002,fmxUTXwnJDi,144,QtnSg,KvkjbOZnDC,0.2636675116066226,0.9629778115514828,cMvIaJfIpzz
5003,uieOPaEwP,196,xIWhKLLXP,VKHmSZEXlAUTGtMzoZBe,0.13203463003542415,0.5643077890130055,KHnKwqjTeVSVtAaTPwzH
5004,zrkWvuJcOmAAFP,835,AYSRXvjvXlTTCTHKL,JFpKFsEzOZkVy,0.2589347444470813,0.6763702412629917,sSPdKUhpWxFahR
5005,dEFbgSRPKEB,774,AEHJHICEvmgGvbw,zghwOmoIaHMsTnsdi,0.3040243474651333,0.8512237799934929,RZoqtItfSJE
5006,nRYYMslzUxBpmfaCJPj,62,DPyPfoDW,FkKgi,0.9378668076052362,0.6142326706982514,UhalHkLfDcMxCcvwJOo
5007,ejnSeDpuVYElz,892,pEiWmZZhfgQlAlYLXF,rmsMbI,0.12994729389993398,0.2016265685071852,eoYQVVvaFGIsoI
5008,gRRwJKVWkWYKa,901,wtwXtDJlzAw,MFAGxUwLgzrJl,0.8238138382422987,0.2799788596261281,SFdwMlupNNvtcG
5009,wkSobcDeVUCGcN,874,fjrpWLjAWdkQCELYDs,PIYCeC,0.8847850969274753,0.9593506159540768,AhSnNv
5010,zfVKsCjbCCa,23,nVxAombGuGXwkr,XZlKelBzDAMpBXmN,0.3947405385068644,0.7277848813519743,yHYSZ
5011,HPsUpa,370,XzxlCIakojiqoHCObFUn,VLWivjRLGfpuucIqLk,0.23484044425004913,0.12674282324790842,FTiBd
5012,XHxXuWupVSTpkKpioQc,112,ayaNbRsAAcwDGAon,IbtFhbAZlJZpdolsuji,0.3158616853669266,0.4599518367684424,wlfyVuZouCAulAsjBl
5013,CcRBSLUZZ,495,sOocGWbtThFEwpqwgm,ItZQPnQhrzaMdZ,0.6117070128380814,0.005535245965544222,ZbzhJNkNSX
5014,JcsKhIgbtTcoeHuz,409,xGQrBrAPosOqHNsl,JUsTcCAfXu,0.5285034736961799,0.049548155720315346,zdQzUdQMs
5015,wEOrjmkzZVbqNsUL,890,feXIZpjlxuMUHBofMM,tBVlZZet,0.024566980822653073,0.09896164250798511,OQEqagUibVAgqxOv
5016,daegeT,661,TGCTdIuvuJpurOTQkHbu,QTkqjGCIhTA,0.8402230186474458,0.3780237450800721,nNsDFcozW
5017,fjdVqHwbkHe,473,QHoyDadjpsTnzskM,FGDwdmQtEulrkYQwIpCm,0.8919174848840112,0.45787177315079963,EQBGXTSoFaUmH
5018,OfXfXV,783,rPQOvOqZtZbhByul,KSgFm,0.04770268172450243,0.9132799469090598,rLQhANy
5019,hbGvuGVagNOBJXlJ,375,XdGBGDR,XjjNAF,0.13222222551636376,0.5149507384817507,mUhDqv
5020,ocXRWfyWpYKvEheg,530,UBOkyjddfbhGmQOyt,wgXkPwjrOgHEqnnE,0.001453987315597538,0.5485742504094172,SqmyrSRQOMFUObaSxvr
5021,ayjYrDmy,572,EUGogQJlnOsCzTWd,BAfEk,0.28347535108088184,0.171948383759011,OsnEeLfqdPyXPmig
5022,vYDCs,309,VJPsJMnd,CaMQWtzpSRc,0.6796527815783637,0.4368510532619003,UfEUMBduoagIp
5023,eNUZXFhHEkJeCyWh,195,HTyHngf,qYluStKvbcNFkakloTCc,0.4008547176299512,0.8327128025309218,PiKWoEyyhqQUvv
5024,KJnElJZZxVwcgqZu,198,aFBbepUyZS,ExvXBMwYjsLqldPYGf,0.8999117436520343,0.3354532540171069,JeSoOtgyJQRseVvFDIU
5025,LseVmEmwnuXsyKzILzN,849,IperLErMrIPhfJaGkTH,StVSzmCPRfpaYLBaqTOU,0.8823730440944217,0.6247125832018599,dTQeSVH
5026,VomWlBxIfb,614,EvgKbZW,YMMVKLZZqKeJZHvuA,0.4756051429673567,0.3015527159053616,PVzBZeSfJFw
5027,MohIzkmqrMQiyidPV,970,EFNshqaozCYp,eyiBcjdERZ,0.7187735378913358,0.21320728133223743,FbjViSufkoJEVcEZ
5028,XxXncvMFXSvlqNnS,789,gonaFrIiDUoplXPjG,oKQNUTxgsR,0.025483382773306085,0.6436480829051786,yXyzfDmhPJAwYUsGRhmL
5029,hmdjJPaDrgXTxFoao,823,pwkrKGaQDmMLcme,fuTKuFYsUMGusLVtD,0.187357235635929,0.11243167196752424,yTTfjTTeS
5030,htvMJHoSVk,614,MXNxzkIjjZTs,XzgcIZ,0.8649181861134058,0.07749821760793585,vreMWplstQEpXUh
5031,HXkaIfOrHzlTFrtS,82,GxDYdWJmZndbXFQIfO,pwRbjpHg,0.864973873492679,0.6232542505316203,ROxuhpDaG
5032,RYpDmlTd,617,zpZGTQrr,EvAXyurOGdzvY,0.7897609888479223,0.10516155478526856,BNHLLyVMaish
5033,hUiwnmi,76,bjhgpeeE,CeguyKJdGMYSFt,0.6612789103077202,0.8074712939853176,DRjmkQk
5034,etoXy,692,ALCkzazDBKBzeuqiW,jziAAY,0.6169572684688,0.06067436761903289,XPhyZCdlCYBtLEjN
5035,hIOhIhF,870,tmuOIJHRQKgfBkpp,fwkDzZWpjrmCdNnLjgtu,0.6639640400074724,0.6615179354077607,DrzjgLnsPDoyKJ
5036,ZvNcbjaHCXNz,13,ZxLZR,HxqhKQKrzsB,0.1343749331044246,0.44832282043870686,NCLvrXcw
5037,JkHIsiWkPCFlPPm,125,XlzgjDTaOkywkpq,bByaDAMlXiCjJF,0.05711494574044407,0.9934436398979887,nQmiKj
5038,pTOULGISM,215,vYalBD,zNlkCcVn,0.40820808528349284,0.8680639811666213,xhbxvbBhAXoWlP
5039,rUXrYHjwfFHFxwN,373,nRRURZ,IHRmJNCgNioouDKp,0.7859410334975735,0.8324534362787466,KTbTDdyXGzUnHKjual
5040,YvYYLdt,70,uZaoRb,BcluTycPzq,0.6537369108332072,0.033887616324010716,jsozwFzRRPGynTlH
5041,hKrkENoNnkGgeaXaRfl,605,ejdbrIqOkptiqPA,yflkDaYrfUGXhFx,0.15823255113221601,0.4920389723676214,fGRcFKTptilXvMVvxz
5042,KShyBpn,362,feMVmqOv,WaNqJIuBUwCqUOI,0.07962021360385774,0.41110402591869943,KtFyHEhWDIezzkxEQlDY
5043,YAAVFR,951,JTtpWCFApHoSNm,lEuDSpGwldfmxEfRERnG,0.20224996124608696,0.6134938331828674,UhfhLkwuy
5044,rMkyAoILoUwwLghGvn,50,KiKfSwXKF,wyUmHlkW,0.08127007328655211,0.08837032207496187,rMQEYjHAvEydTcN
5045,yVaQkDzMqEDuaHffcNZ,642,fyVMqCmiZ,ITrQMTMs,0.3946945738660643,0.3148923239132243,EgqRNoBBB
5046,hGVAxziCtzJQQyZiDbbe,577,kQsrIPPT,XAignJhHssRk,0.09127322212912259,0.8409763881312766,XaoKFPkspi
5047,DBecv,303,QbCJxGwrWx,SWqqBWFPLH,0.6728740484786292,0.18619413968805332,NqftwaJDBWnUfBEM
5048,iIJWRbXYiYHRTk,438,mRmQLzLgdPUZcrYKW,eoRhoqVAZTHgLNunA,0.3186377635579988,0.3439725973280856,SqZkcmSUuozVl
5049,dCoZnDrxjssfdjrzTR,63,rFuruD,XcksBnMVRlaSPNRCrrG,0.3461495514818309,0.6245631320952353,hLMpBTpNCYYUVuwccpG
5050,czBvSKeNvjTOskXS,45,dTSVNU,bUumGYZi,0.4294559629444672,0.14281836831179573,UShctMf
5051,xSSYVAkpg,113,vVzxZ,gzrgqyG,0.5086980723388161,0.6193645797485844,gEybWGGqhQvVdSsqn
5052,qdABvdfj,385,aYuUnMnWImgdlyqV,sJLIdDgjOqUPFRZ,0.5686567300882163,0.7188047479440003,ZQFzTFxexcsEPpLK
5053,HlSpQbRhrhTlqUb,648,dtPsKSKlhgwItemo,hAsoqWPV,0.9002576928177207,0.5983183966718781,uNVMxEc
5054,vsPUcj,340,tqMOkFlSWpWpLivswsD,ilZwYfueIYZQG,0.19560092163447373,0.7330778874703539,xwUUY
5055,xtQShebi,829,kjxxC,YqvhSLHnFbDnUyVIcBLU,0.21444718558441933,0.053377115647080364,tKHASnGolQbo
5056,NTlitaCxdxssYFEkcrCC,872,CunnRLyCwpkSKnTG,urXPvpzBcQAPqZJoVAM,0.5347114397753988,0.17680605423259876,XoQSxpcvN
5057,UEfHwjzGrqFEJDulR,146,HFXneqXInrUSNaqVstA,YbxyhyNr,0.20669696957901607,0.46314230075460394,DxiGyoquQUGgvEBPEYtp
5058,nFecGIBVjrvHH,298,qGHnauAiafFAhHRbGe,WUiVMSWiRaaizNXMqfa,0.31846619703419843,0.0401727252961297,LNbkFhp
5059,vZvHY,70,VDQWxOMXOYQpgZeZOxB,OxSqnfSTYUjURqUOxyg,0.6277638362370873,0.8673040913717387,cukYb
5060,JFZoerYFEHUNPfVSF,408,MsCoJtxV,TiTxNebFXxVSl,0.8418886113825239,0.1501393605398953,WWBcXjGMltAdF
5061,nAtIXd,282,XMAJgeAtWJOLgm,wrHNZdih,0.4397523472388678,0.6390461431811884,xclDDuxXofTy
5062,RRLMNQtNGnITavquO,146,HXVXxFBLWCECBEcvoC,hCjKNbBZdew,0.7450381732212903,0.3143687428367177,jpqtUkmuDQRkgmQC
5063,qCIdUYJugXM,846,ZExvVaJt,rIeCmetHVnJlb,0.3497778479118341,0.3920463471771305,WfITmRH
